source,source_file,source_url,source_location,cell_type,gc_subtype,metric,mean,spread,spread_type,n,unit,condition,comparison_group,temperature_C,notes,reported_text
"Dong, Heinbockel, Laaris & Ennis (2007)",dong_heinbockel_laaris_ennis_2007_article.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC2596473/,FIGURE LOCATION,GC,generic_or_unspecified,Group I mGluR Modulation Effect,,,,,,,,EXACT WORDING FROM PAPER
"Dong, Heinbockel, Laaris & Ennis (2007)",dong_heinbockel_laaris_ennis_2007_article.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC2596473/,FIGURE LOCATION,GC,generic_or_unspecified,Control Baseline Metric,,,,,,,,EXACT WORDING FROM PAPER
